tupleapp/app	3c5e8f24e9a59e96609836c252d4d692e973c74d	35	21
tupleapp/app	c06320d5b552efacf13e294871d9a0ef50404bad	2	0
tupleapp/app	226730248a0f3e16b88fc1ceadcb564d12f4a3d4	14	4
tupleapp/app	4de9b9cdebf09bb00bc1470168587f60fe6accad	305	143
tupleapp/app	d72b2af058a79c5bce6ee178a4b2937e40f4982f	1	0
tupleapp/app	14c6853667c47bc9025fc85cc54456728857855a	1	0
tupleapp/app	204f2714dc4803419093eb2dca91b8c5d4e39f7e	16	12
tupleapp/app	c0b8cbd70e164bf43729498ad0d51e80dadc7ee8	9	7
tupleapp/app	919e0b317d1f06aa69ca82c54c9b4cfce31bbad1	1	2
tupleapp/app	e80722f6fa6c8f84abb94c532f0b8e09209d2894	10	10
tupleapp/app	ec0b6bd878c0d36e811440fbf9513df780038296	3	3
