marlersoft/zigwin32	96fa2aee1476460f3624641686e992f5c171bdae	127	120
marlersoft/zigwin32	06b5e6a2773bec43136e6abd26ca7397bb547a4b	5818	10510
marlersoft/zigwin32	26f3ccffb5630dfe23fcda1f00d75d46147b5a60	10683	5516
marlersoft/win32json	ca9dd560f598062be334f4b5687764a85de1416c	41456	42236
marlersoft/win32json	2eb346b3aacc34d57a8199546e284dc086b404e4	38588	38215
marlersoft/win32json	6d7b6e1a87c86b2cb4437779d27a692a68fd1402	31445	17269
marlersoft/zigwin32gen	f5cd9b67ff5b8e6d6e1f9bd8cc2116a6a428346e	4	4
marlersoft/zigwin32gen	12024ff253de010d6ed5e7a411682bb9c3ac3a0b	16	4
marlersoft/zigwin32gen	b4e5f1039ec882f6dd6a7b41e3fbe3ef7403ebf0	68	9
tupleapp/app	98b4d3de5f4e6e3c0528c0d48be9cc050474facb	24	18
tupleapp/app	5478a32e8662495591516581538a02b354cebadb	24	18
tupleapp/app	e8dd75f6401f549767efab87a0348ebb60bd65fc	1	0
marlersoft/win32jsongen	65baf60b63e1ea3f94b05b0b7fd61e4898436d09	37	5
marlersoft/win32jsongen	0d47ec94ac535c1b2efc7ceb723c51c4aa635943	1	1
marlersoft/win32jsongen	058814477b787e123d91b8878e456f54f58d73f4	47	18
